Name,Price,Location,Description
apple iphone 6s 32gb,"Rs 20,000","7th Avenue, Islamabad","I want to sale urgent in a mint condition, white gold color , pta approved."
iphone 6 plus non pta  64gb battery health 88 bakki all okay ha,"Rs 9,000","Singhpura, Lahore",iphone 6 plus non pta storage 64gb battery health (88) bakki all okaay ha whatsapp contact(View phone number)
Iphone 6plus 64gb,"Rs 15,000","Bilal Town, Jhelum","Condition 10/9
Non pta  Butt sim working 
Finger ok 
Battery 71%
Total Original 
With box 
Serious buyer contact me jazakAllah"
iPhone 6s plus non pta 64GB O3O98578783,"Rs 9,800","Kamal Abad, Faisalabad",Non pta bypass Condition Normal h Jis bhai ne lena who call kre
iphone 6,"Rs 11,000","AWT Army Welfare Trust, Lahore","Iphone 6 64gb
Only Mobile 
Pta prof"
IPhone 6 Plus Pta Approved 64Gb,"Rs 20,000","Misri Shah, Lahore","10/10
Btry100%
All OK"
IPHONE 6s NON PTA 16GB,"Rs 8,000","Harbanspura, Lahore","IPHONE 6s NON PTA 
16 GB 
BATTERY HEALTH 84
TOUCH ID , HOME BUTTON OK
CONDITION 10/8
SCREEN KE TOP PAI BILCOL LIGHT SA CRACK HAI JO PROTECTER KE SATH NAZAR NAI ATA BAKI ALL OK 
EXCHANGE POSSIBLE 
JUST BUY AND USE"
IPhone 6s Official PTA Approved Alll okkk,"Rs 13,000","Airport Road, Rawalpindi","iPhone 6s 16GB, Official PTA Approved 
Alllll okkkk, No Fault, Total Geniue Phone 
Battery health 100%, Good Timing 
Original panel Cher chez okk hai 100%
Thanks"
iphone 6s non pta 64gb,"Rs 10,500","Landhi 2, Karachi",all okay non pta icloud clear just battery service
Apple iPhone 6 For Sale.,"Rs 20,000","Harley Street, Rawalpindi","Apple iPhone 6 For Sale. 
Non PTA Approved ha. 
Front sy thora damage ha. 
YouTube,etc all proper working. 
Urgent sale karna ha."
iPhone 6splus 64gb urgent sale and Exchange with good mobile,"Rs 9,000","Gulberg 3, Lahore",iPhone 6s Plus 64gb battery health 100 fingerprint not working but home button work back camera not work front ok hai jis ny lyna hai woh msg kere without bypass hai
iphone 6plus,"Rs 11,500","Rawalpindi Road, Chakwal",pta approved but bypass agr sim wala bypass krwao gy to sim bhe chly gi . new battery. condition normal otherwise all ok . urgent sale
Iphone 6s pta,"Rs 20,000","New Garden Town, Lahore",64 gb all ok only phone Battery change
Iphone 6s Plus Non Pta 32 Exchange Possible,"Rs 7,000","Chowk Tank Adda, Dera Ismail Khan",iphone non pta 32 gb 10/9 condition all oky original battery health 80 exchange possible fingerprint ok contact only Whatsapp(Chat with seller). . . .
iPhone 6 Excellent 10 by 10 condition,"Rs 9,500","Bhara kahu, Islamabad","Sim working ha (JV)
16 GB varient ha 
Perfomance wise bohat zabardast ha
battery timing excellent screen original 
full neat and clean set ha
Whatsapp, Tiktok, Youtube sab chalta ha
sim bhi chalti ha JV chip k sath

Exchange possible"
Original iPhone 6-7-8-SE cover for sale,"Rs 4,000","7th Avenue, Islamabad","2 phone covers. Both Came from abroad. The second cover is free. Not local. 
Compatible with iPhone 6,7, 8, SE 2020 and SE 2022. 
Very attractive and durable. Scratch resistant cover. The color of the case will not fade. 

Can be seen in G-11."
Iphone 6 For sale,"Rs 13,000","Gulshan-e-Iqbal, Karachi","Iphone 
Condition 10/10
Color Silver
With Cover 
Fingerprint Working 
Battery Health 100%
64Gb Variant
All Ok No Fault

Bas protector Cracked hai screen bilkul sahi hai"
iPhone 6splus 64GB PTA,"Rs 19,000","Industrial Estate 1, Gujranwala","Totall original 
65%health 
all okay 
boht achi condition hai"
Iphone 6s 64gb PTA,"Rs 13,500","Mughalpura, Lahore","Finger ok
Cameras ok
64gb PTA ok
Battery Change 100% Health
Personal Use Mein Chalny Mein
Kisi Kisam Ka Koi Masla Nai Hai
Fazool Offers Waly Add Se Door Rahy"
Apple iPhone 6S 64gb non pta 4500,"Rs 4,500","Akbar Road, Multan",All OK bettry health 100%argint sall
iphone 6 (64gb)“Came from Uk“urgent Sale. 0/3/0/6/4/3/9/8/4/3/0,"Rs 9,500","Walton Road, Lahore","All ok phone /Sealed pack
89 percent battery health
with original box and charger cable
64gb memory /Fngerprint perfect working
Came from abroad (Uk)
just need money urgently Sale
only call . 0/3/0/6/4/3/9/8/4/3/0
Non pta"
IPhone 6s plus 128 GB only WhatsApp number03274272410,"Rs 8,000","Jia Baga Road, Lahore",IPhone 6s Plus 128 GB PTA approved urgent for sale
iPhone 6s,"Rs 8,500","Dharampura, Lahore",Bilkul OK ha non pta ha glass said se tota pic me dekh lo wo bi 1000 me hojay gha 4 64 ha iPhone 6s WhatsApp(View phone number)
IPHONE 6S NON PTA 32GB ONLY SET,"Rs 12,500","Shahi Bazar, Hyderabad","IPHONE 6S NON PTA 32GB ONLY SET
CONDITION 10/9. . . 
PANEL CHANGE BUT HIGH QUALITY LGA HUA . . . OR MAIN LOUD SPEAKER MAI JHNJHNAHAT HAI. . . OR FRONT CAMERA THORRA SA BLKL THORRA SA BLUR HAI . . . OR SILENT BUTTON  work nh kr rha . . pani mai gira tha achanak bs jb se na home button work kr rha. . . URGENT SELL NEED MONEY URGENT. . . ."
iphone 6s 64gb pta approved,"Rs 16,000","Others, Faisalabad","iphone 6s 
64 gb
pta approved 
All ok
only fingerprint issue
9/10 condition 
whatsapp(0/3/0/9/0/6/2/0/2/4/9)16"
iphone 6s plus  pta approved 64gb,"Rs 18,500","Baghban Pura Housing Scheme, Lahore","all okay ha 10 10 ha pta approved 
what's app only(Chat with seller)"
Apple iPhone 6 Plus non pta 64gb,"Rs 8,500","Federal B Area - Block 8, Karachi","64gb
9/10 condition
touch id working
100% Battery health
lcd pe nishan hai jo barhy ga nahi baqi all ok hai"
iphone 6,"Rs 8,000","Basti Mehmood Abad, Multan",iphone 6 memory 16 gb all ok 9/10 only fingerprint not working but home button working battery health 100 condition you can see in pics only serious buyers contact price Kuch Kam ho jy gi
iphone 6s PTA approved ha,"Rs 15,000","Others, Chakwal",16gb ma battery health 69 ha finger not working condition saf ha
iphone 6s  OFFICIAL PTA APPROVED,"Rs 11,500","Korangi Road, Karachi","battery new dalwai hai button working main hai finger not working baki all okH hai
battery backup bhe acha hai(View phone number)whatsapp and call"
Iphone 6s PTA Aproved,"Rs 14,999","Fawara Chowk, Gujrat","Iphone 6s Pta Aproved 
64GB ha
All ok 10/10
Best for Hotspot 
Front Camera and Home Button ni hotspot work krta repairable ha 
No any Other fualt
Batry timing b achi ha
Bilkul New ha
Officially PTA aprove ha
Exchange b possible ha
Camera b Bohqt acha ha"
iphone 6 128 Pta approve,"Rs 11,000","Kot Lakhpat, Lahore","10/8 iphone 6 128 gb pta approve all ok 
battery 100%"
Iphone 6 plus pta approved 16GB,"Rs 15,000","Doctors Housing Society, Islamabad","Iphone 6 plus pta approved 16GB
82% battery health
With charger"
iphone 6 non pta 64Gb water pack,"Rs 10,500","Nishatabad, Faisalabad","84health
non pta
64gb
all ok 
con 9/10"
Iphone 6plus 128gb,"Rs 23,500","Sher Shah Colony, Lahore","I have an iPhone 6plus 128gb. 
Original phone 100% battery health. 
pta approved. 
there is no issue in the phone. 
Price is a little bit negotiable. Urgent Sale needs money."
iphone 6s plus,"Rs 13,500","Mansoorah, Lahore",iphone 6s plus 64Gb Non PTA all okay no issue factory unlock chota sa dout ha screen main dark mode main nazar ni ata touch best ha original phone ha kuch chnge ni howa battery heath 78% ha
iphone 6 plus pta proved cell#03219443864,"Rs 12,500","Mughalpura, Lahore",iphone 6 Plus pta proved 16 gb penal tota h baki ok h phone jo bhai iPhone 15 ya 14 chalta h us ka sat pta mobile kaleya best h battery timing 1 din aram sa chal ta h 10000 sa km wala contact na kra thanks exchange nhi kr na only sal
Apple iphone 6s plus 128 GB memory 03193220625,"Rs 8,000","Gulshan-e-Zaheer Colony, Rawalpindi",Apple iphone 6s plus 128 GB memory no open no repair all accessories complete box PTA approved connect my WhatsApp number 0319//32//20//625/
iPhone 6 64 GB PTA Approved,"Rs 10,000","North Karachi, Karachi","iPhone 6 64 GB Space Grey
PTA Approved
Finger Working Perfectly
Neat & Clean Slightly used
Battery Health 100%
Back Camera working Perfectly, Front Camera Not Working. 

****0*3*4*6*2*7*9*9*3*2*3****"
iphon 6 . new cundishan,"Rs 8,500","Chah Miran, Lahore",cundishan 10by10 ha non pta ha no open no rupair.  lash cundishan ha 83 battery health ha battery time bhoat hi acha ha no scratch 16gb momrey ha ide nahi lagi abhi   new protecter  or new sheat or new  cover transperant.  all Mobil ok ha her cheez ok ha urgent sail.  pason ki zarorat ha
Iphone 6s Plus PTA Approved with Original Box,"Rs 28,500","Thokar Niaz Baig, Lahore","Iphone 6s Plus
64 GB
PTA Approved
With box and accessories
Scratchless body
Finger print working. 
Battery changed. BH: 100%
Mentioned price is final. Won't entertain bargaining queries. Only contact if the price makes sense to you."
iphone 6s 16GB approved finger off han,"Rs 12,500","Phalia Mandi Bahauddin Road, Mandi Bahauddin",battery panel change panel wase geniun aa baki best aa home button camera etc all ok
iPhone 6 64gd all ok condition 10 by 10,"Rs 9,000","Township - Sector B2, Lahore",side button issue condition all ok 64GB battery change
iPhone 6s PTA approved 64gb memory my/0341-68;86-453,"Rs 8,000","Gulshan-e-Lahore, Lahore",iPhone 6s PTA approved 64gb memory condition 10 by 10 complete box delivery all Pakistan home delivery available h available h
Iphone 6,"Rs 10,000","Green Town, Gujranwala",Iphone 6 Memory 16gb All ok no any fault Battery health 100 Non pta Urgent sale
iphone 6S 4/64 bypass hy,"Rs 7,000","Lines Area, Karachi",Bhai ye iphone 6S hy bypass 4/64 GB jis Bhai ko icloud Data k Liye ya social used k Liye gaming ya camera waghera k Liye chahiye ho to contact kren har cheez bht achy sy chalti hy mobile update hai 8 Wala hy home button not working Baki chalne me bht acha hy battery timing normal hy jesy iphone ki Hoti hy please jisko need ho Wohi contact kren or please jis Bhai ko bypass ki Maloomat ho Wohi contact kren
iphone 6s,"Rs 11,500","Allama Iqbal Town, Bahawalpur","PTA Approved 
128gb 
panel change 
home button not working 
condition is ok 
charger is available"
iphone 6s,"Rs 8,000","Kallar Syedan, Rawalpindi",finger not working or home botton not working or mokay pr chek kr saktay hin
Iphone 6 (93% Battery Health),"Rs 9,000","Cantt, Quetta","93% Battery Health 
No Fault
only Serious buyer contact 
urgent 
non pta"
iPhone 6 available contact no 03065907892,"Rs 7,000","Saddar, Peshawar","I phone 6 
16GB
Bypass 
All ok 
finger ok hai
10/9 condition"
iphone 6 32gb | jv,"Rs 10,000","Gulshan-e-Ravi, Lahore","PRICE ALMOST FINAL
iPhone 6 jv 32gb
Battery health 96%
Condition 10/10 Almost
All ok Kit only
No exchange
only calls or whatsapp no olx chat"
iPhone 6 PTA,"Rs 10,000","Wapda Town Phase 1, Lahore","iPhone 6 16 Gb
PTA Approved
Good Condition 
No issue at all
Original Phone having original panel and original battery Guranteed
Only Serious Buyers contact"
Iphone 6S 64gb,"Rs 15,500","Ancholi, Karachi","iPhone 6s 
64 gb 
PTA approved"
IPhone 6s plus 128 GB only WhatsApp number03260536967,"Rs 10,000","Shah Mansur Township, Swabi",IPhone 6s Plus 128 GB PTA approved urgent for sale(Chat with seller)
IPhone 6 16GB NON PTA,"Rs 13,000","GT Road, Wah","NON PTA 
TOTALLY ORIGINAL
3UTool 98Score with proof available
Jo serious ho wo Rabta kry
Price kuch munsib ho jay gi
9000 sy kam nahi sell krna to issy kam nahi rabta kry"
iphone 6,"Rs 10,000","Tajpura, Lahore","All ok spex 128
battery 95 
Non Pta JV 
Contact nmb(View phone number)"
Apple iphone 6s plus 64 GB memory 03193220625,"Rs 8,000","Park View, Rawalpindi",Apple iphone 6s plus 64 GB memory no open no repair all accessories complete box PTA approved connect my WhatsApp number 0319//32//20//625/
Apple iPhone 6 Plus,"Rs 12,000","Cantt, Sialkot",Fingerprint working 100 health battery change panel break from upper corner all ok set
Apple iPhone 6S,"Rs 16,000","Millat Town, Faisalabad","Iphone 6s PTA approved 
16 gb
Good condition 
All working fingerprint disabled
Other is 10/10 
Battery health 100%
03//18//44/5//99//15"
iPhone 6 16 gb non pta,"Rs 6,000","Naval Anchorage, Islamabad",iPhone 6 16 gb touch kam nai kar raha touch ic daley gi
iPhone 6s 16GB,"Rs 14,500","Ali View Garden - Phase 1, Lahore","iPhone 6s 16 gb
panel betery change 
front back camera all ok
fingerprint off button all ok
exchange possibal 
infinix redme realme trcno"
iPhone 6s PTA Approved,"Rs 13,000","Saddar, Rawalpindi","I bought just like this years back 
screen was broken when I bought 
condition 8.5/10 with back cover
pta approved msg on WhatsApp for video
(0|3|3|4|5|4|7|3|2|6|6)"
iPhone 6 Plus 64GB PTA AAPROVED,"Rs 14,000","Clifton, Karachi","finger fail
home button Kabhi Kam karta han Kabi Nahi
Battery change 100%
baki all ok han 
Condition 10/8"
iphone 6s,"Rs 15,000","G-11, Islamabad","iphone 6s
non pta 
32gb
100% health 
10/10 condition
scratch less
WhatsApp no(Chat with seller)"
iphone 6s plus 64gb non pta exchange also possible,"Rs 10,000","Nehar Bunglow Road, Burewala","Panel and battery change home button not working front camera not working
exchange also possible difference will be pay"
iphone 6 plus for sale,"Rs 10,500","DHA Phase 1, Karachi","iphone 6 plus non pta bettery heath 100,% 128 gb cameras ok finger ok condition 10/9 good all ok colour golden serious buyer contact me 0/3/1/4/0/3/0/4/1/7/2"
iPhone 6splus pta approved,"Rs 16,000","Gulshan-e-Iqbal, Karachi","box available. battery change , golden color 64 gb"
Iphone 6 plus,"Rs 15,000","Kakul, Abbottabad","64 gb memory, 5 gb icloud
9/10 condition,
non-pta,
all ok
free cover
jisko chahiye call kare"
iphone 6s plus ha  software issue ha All parts available,"Rs 7,000","Harbanspura, Lahore",panel cameras battery  and all parts in working condition
Iphone 6s Plus Original Pannel,"Rs 2,999","Arshad Town, Mandi Bahauddin",number(View phone number)iphone 6s plus
iPhone 6s pta approve,"Rs 16,000","Ahmad Abad, Rawalpindi","iPhone 6s pta approve 
finger print working 
4/64
all ok 10/9
exchange available"
iPhone 6s plus 128gb pta approved,"Rs 27,000","Warsak Road, Peshawar","iPhone 6s plus 
Official PTA approved
128GB
Condition 10 by 9 
Finger disable 
Battery health 100 
Best phone ever
urgent sale need money
26k final"
iPhone 6 Brand New 10/10 NON PTA,"Rs 7,000","Al Hamad Colony, Lahore","iPhone 6 Non PTA
Brand New condition 
Full HD out class camera results both
it's Non PTA Sim not working 
wifi working 
its factory unlocked 
finger print working 
memory 16GB
sound out class 
video recording out class 
10/10 not a single scratch 
everything is functional 
no any fault 
just buy and enjoy 
no box and no charger. only mobile 

price final hai. 
AK Paisa be kum ni ho ga

Please Serious Buyer Contact me 

This is 100% Original Okay Check it yourself then buy 

Thankyou

0333
493
5825

only call"
iphone 6s,"Rs 6,000","Bakra Mandi, Rawalpindi",iphone 6s one hand used finger not working camra all ok 32gb storage sim b chalty h signal ic ka issues h pr sim b pick kary ga
iPhone 6 PTA Approved,"Rs 13,200","Guru Mandir Chorangi, Karachi","iPhone 6
PTA Approved 
Mint Condition 
Original Panel
Battery Changed
32gb
All Okay
Fingerprint Homebutton Sub Working Mai Hai
WhatsApp(View phone number)"
iphone 6s 64gb,"Rs 15,000","Abid Road, Lahore",iphone 6s 64gb perfect working new aya ha bahir se without box battery service par h…. iphone first time open ho ga on battery change. non pta jelly sheet applied from day one.
IPHONE 6 10/10 HAI PROBLEM KI WAJA SA SALE KAR RAH URGENT SALE,"Rs 7,000","Korangi, Karachi",Whatsapp/(View phone number)
iPhone 6s Plus Pta Approve,"Rs 15,000","Kot Lakhpat, Lahore","64Gb
Official Pta Approved 
Panel change
Battery service 
Home button not working
Silent sensor not working
All the details given in the add
jis ku samj aa ayh vohi rbta kry
exchange possible with 6s Pta or Any mobile"
Iphone 6s,"Rs 15,000","One Unit Chowk, Bahawalpur","All ok
10 by 10 condition 
everything in working
fingerprint sensor work 
100% battery health 
32 gb storage 
factory unlock 
2 months sim time
only mobile no cable no charger 
and this offer is only for bahawalpur"
Iphone 6 64gb,"Rs 12,000","Mehmood Booti, Lahore",Non Pta 10/10condition battery health 100%
